ACC,SEN,SPE,PRE,F1,LOSS,AUROC,TRAIN TIME/M,Dataset,epoch
0.8661758773699072,0.2782029435382369,0.9879025823534663,0.34830184949162124,0.291189199941419,0.9169180393218994,0.8516711796258438,2.4118716080983478,training,1
0.9241629689390883,0.40068724213947526,0.9932828654275706,0.5151371613816011,0.43212689140999155,0.7623454497706506,0.9550031997999544,7.006339951356252,training,2
0.9294070189592578,0.4244347009047543,0.9937823992812626,0.5418305633063281,0.4581655330672827,0.7438180190901602,0.9727372159455961,11.604520348707835,training,3
0.9400968132311416,0.4867993071344069,0.994676302070145,0.6653933249833296,0.5266913465118457,0.7220959955646146,0.9639349560341218,16.199837819735208,training,4
0.9388866478418717,0.4824755150673297,0.9945786577785419,0.5725799964042025,0.5134240627475996,0.7241542645039097,0.9681298964707107,20.78816274404526,training,5
0.9440298507462687,0.5201213869320962,0.9950638151561019,0.6154222233250269,0.5543759825425201,0.7068701323001615,0.9886003636864608,25.380380245049796,training,6
0.9435256151674062,0.5425178956679305,0.9950602460167636,0.7413049558619439,0.5914627977065361,0.7066302203362987,0.976443980630575,29.96849949757258,training,7
0.9449374747882211,0.5967552680667395,0.9951004485832188,0.7955238204616001,0.654094475549032,0.7018077083172337,0.984448644556471,34.557067541281384,training,8
0.9472569584509883,0.5586930447221747,0.9953951458888908,0.7200013519609187,0.6026602860694633,0.6923769610543404,0.9823006642477564,39.14816109339396,training,9
0.9454417103670835,0.5954992733462185,0.995252182771054,0.8203009337436519,0.6586781750715367,0.7009542378687089,0.9887978542455294,43.743492750326794,training,10
0.9516942315449778,0.6369002802736683,0.9957746334696191,0.8270233470909585,0.6994060428337368,0.6875270022499946,0.9899126962326772,48.33533331155777,training,11
0.9504840661557079,0.6409442865421967,0.9956782409216479,0.8331498661837197,0.7034228221289547,0.6859816474299277,0.9853884233015007,52.923976838588715,training,12
0.9514925373134329,0.6489642565857513,0.9957220771842717,0.8605838091243015,0.7106874262366768,0.6813601991822643,0.9906522714084579,57.51190263430278,training,13
0.9530052440500202,0.624283109603283,0.995874710686655,0.8261000273327157,0.6844162184918382,0.6818947674766663,0.9852948014752738,62.10364560286204,training,14
0.9527027027027027,0.6362686800389803,0.995773921745467,0.8582176096988957,0.7047647253037178,0.677682388213373,0.978670722838202,66.6918456753095,training,15
