ACC,SEN,SPE,PRE,F1,LOSS,AUROC,TRAIN TIME/M,Dataset,epoch
0.839358644683104,0.2682564811925886,0.985532461416312,0.3796370166888501,0.2858327705778205,0.9819697213633625,0.8345667504692663,1.9917400081952412,training,1
0.9199818484344274,0.3884104292125254,0.9928856732892786,0.4968993889863897,0.4191386924245508,0.7823871040113882,0.9003316799149906,6.632674427827199,training,2
0.9279987898956285,0.4757347794915754,0.9936683123959225,0.6161882872997768,0.5159756611157504,0.7551254615691549,0.960139710597369,11.100965770085653,training,3
0.9381334140069582,0.4683548110539604,0.994552155451713,0.5462354360632001,0.4925016210191341,0.7269355297664514,0.9777195325357254,15.575210030873617,training,4
0.9408561488428377,0.5369492592365713,0.9947983827966307,0.7956724971826432,0.6060646905290185,0.7189275959263677,0.9833935718467813,19.741303435961406,training,5
0.9456965663288459,0.5856534930239204,0.9952630872252285,0.7104592721217632,0.6276080440023585,0.7078866699467534,0.9851294760545032,23.903313263257346,training,6
0.9404023597035245,0.5328566809885301,0.9948096499247171,0.655734298803215,0.57567909005544,0.7150071721146072,0.9814326131914386,28.0722575545311,training,7
0.9503857207684163,0.5478386599846453,0.9955713213288365,0.6678130509107137,0.5822455613843869,0.6974978657160404,0.959269160343933,32.24445517063141,training,8
0.9476629859325367,0.5630758758263603,0.9953843213146253,0.7068872634585612,0.6105950684236781,0.6974802143907778,0.9747846338816105,36.422008450826006,training,9
0.94811677507185,0.589840175299419,0.9954715270371577,0.7567489075415293,0.6388526276317558,0.6969094299463834,0.9839447352067802,40.674485305945076,training,10
0.9456965663288459,0.58121677806663,0.9952334972585359,0.8673073700432841,0.6565501782557931,0.6982276091253125,0.9842074255546975,44.90339707136154,training,11
0.9502344577219786,0.5876341605963987,0.9956188592444624,0.7373785377874023,0.6229639007449977,0.6835924833293122,0.9927484359822628,49.07711293299993,training,12
0.9511420360006051,0.6729303321206349,0.9956934838808812,0.8675806858745587,0.7324646226465195,0.6834800980517254,0.9890121375632106,53.24629096984863,training,13
0.9558311904401755,0.6388102385127925,0.9961176722811041,0.7978183265145681,0.682813122345084,0.677567003717745,0.9885316821649585,57.4567521015803,training,14
