ACC,SEN,SPE,PRE,F1,LOSS,TRAIN TIME/M,Dataset,epoch
0.8311350435624395,0.03399588747128661,0.998001710011821,0.03498509489857164,0.03440243436583492,1.5832999709496416,2.5860240340232847,training,1
0.8905493707647628,0.2966443106556469,0.9901827620810673,0.3502583961633838,0.301666685091356,1.3652488359860802,7.271089573701222,training,2
0.896539206195547,0.3061330620612541,0.9907268652987117,0.3854177466723028,0.3154850889446862,1.3416737322650518,12.031956930955252,training,3
0.9074903194578896,0.34139201291273125,0.991726527693529,0.43427073145862394,0.3617051524875865,1.3067882738906595,15.657024093468983,training,4
0.91202807357212,0.36649159731521014,0.992144464648247,0.440052469707224,0.3898870433827138,1.2885731859871221,19.283692236741384,training,5
0.9168683446272992,0.3934454650276031,0.9925796790797853,0.4932772659517012,0.4203181050490349,1.2764703577215022,23.962546066443124,training,6
0.9195909970958374,0.4075383417641897,0.9928656116842414,0.5679319535245857,0.4383867332730194,1.2640231174472683,28.640446662902832,training,7
0.9197725072604066,0.4202159311976181,0.9928572365660268,0.5141742361274121,0.447928736170249,1.2592348014824164,32.25891921122869,training,8
0.9244917715392061,0.4205930016511579,0.9932391529214218,0.5506329451747025,0.45452252153937633,1.251675638977287,36.9499794960022,training,9
0.9283639883833494,0.4368036698605573,0.9935513085957596,0.5903317026272064,0.47593627200463284,1.2386770822554538,40.573673117160794,training,10
0.9270329138431752,0.4327992154011202,0.9934938403096866,0.5243873717538835,0.4608158226857686,1.2381770486296722,44.19769365390142,training,11
0.933567279767667,0.46167646259566497,0.9940560918897109,0.6555005505241323,0.4999900250002006,1.2232591995187607,48.88173012336095,training,12
0.9339303000968054,0.4844319462438594,0.9940945064850707,0.6152387134412977,0.5227425249621623,1.216045281181483,52.494287165006,training,13
0.9332042594385286,0.47668640587675,0.9940208760254791,0.7203251224768583,0.5302291784649956,1.2173461909450922,56.11523541212082,training,14
0.936350435624395,0.4864675994436019,0.9943195099249618,0.6489866533613585,0.5311235665720913,1.208595403389036,59.72751663128535,training,15
0.9352613746369797,0.5275629775326395,0.9942385544524701,0.7263783439687608,0.5774512478903755,1.207290694838105,63.337379864851634,training,16
0.936350435624395,0.5134482420429417,0.994316507990285,0.7524688085284966,0.5703153078477607,1.2000228874457413,66.9519933462143,training,17
0.9387100677637947,0.5149968771849646,0.9946003397457287,0.7238457458838696,0.566579372172067,1.1983657374372796,70.56510670582453,training,18
