ACC,SEN,SPE,PRE,F1,LOSS,AUROC,TRAIN TIME/M,Dataset,epoch
0.8793677204658902,0.31552140837449394,0.9892034502763296,0.43834686211766255,0.33915989258932666,0.8776907270081378,0.8867221242994713,3.030403697490692,training,1
0.9253516865829677,0.40927019151870453,0.9934338741397785,0.5708984402623517,0.4418102216590595,0.7631375971047775,0.9440786062157769,8.22176171541214,training,2
0.9348812585085463,0.4664099532708114,0.9942794999215774,0.6857467252086206,0.5118022141442463,0.7324115079670137,0.9535985302345851,13.49889288743337,training,3
0.9411586749357133,0.5217698338754423,0.9948437179680724,0.6636111801513175,0.5636639732511846,0.7181321808681396,0.9656887597800873,18.653493674596152,training,4
0.9425956738768719,0.533232379681381,0.9949698495229929,0.6363713800362383,0.5684211335283993,0.711996581963295,0.9731087207664179,23.87226795355479,training,5
0.9444864619573439,0.5262473122714985,0.9951308595211344,0.7196899741890184,0.5684998692575712,0.7108679013551721,0.9817950038332035,29.066219755013783,training,6
0.9463016185145969,0.5509274525316578,0.9952988172593806,0.6769203292720684,0.5928989493032021,0.6984775933090616,0.9859059199524908,34.26991849342982,training,7
0.9444864619573439,0.5566772405333184,0.9951391998888861,0.6948545528665521,0.6037744330928273,0.7007796794608019,0.9835022323473165,39.35370509227117,training,8
0.949326879443352,0.6169947455514069,0.9955525764027099,0.7758013909685012,0.6664931827356789,0.6928797978997806,0.9824176693475639,44.49865645170212,training,9
0.9472091967932235,0.5876785691251125,0.9953768772280026,0.7868717992323156,0.6537219769814836,0.6983325632585995,0.9784140689763531,49.61415119171143,training,10
0.9496294055362275,0.5931882640612043,0.995544606892602,0.7470528503252164,0.6432665621862182,0.6874888036849994,0.9880135248862271,54.712388106187184,training,11
0.9482680381182877,0.5985289540934731,0.9954752768117232,0.8148603885348318,0.6525241154377116,0.6912652723455198,0.9836024247315814,59.7871432463328,training,12
0.9540916654061413,0.6190162252673596,0.995980395119971,0.7649043560869461,0.6696946732093422,0.6797840030872879,0.9785477006029076,64.85550610224406,training,13
0.9487974587808199,0.6336026045498918,0.995541866829576,0.8096063453370533,0.6825592937603521,0.6895468874254088,0.9860446122817129,69.92684772809346,training,14
0.9542429284525791,0.6281631679375858,0.9960120331281124,0.8245224424334812,0.6890720349867713,0.6816973514890902,0.984570946872479,74.9988742629687,training,15
0.9523521403721071,0.6456301711326181,0.9957425445757713,0.775003632241239,0.6936355380150562,0.6800517706191482,0.9771648984251239,80.07069427967072,training,16
